Glob_sevanje_mean,Hitrost_vetra_max,Hitrost_vetra_mean,Vlaga_max,Vlaga_mean,Temperatura_lokacija_max,O3,mesec,Glob_sevanje_spr,Vlaga_spr,Temperatura_lokacija_spr
12.875,2.4,1.85,82.2,77.9125,11.8,SREDNJA,11,100,9.90000000000001,1.8
1.05,2.2,1.4375,84.3,79.4875,15.3,SREDNJA,11,7.7,6.7,1.9
3.7125,5.7,1.7375,91,86.6,18.9,SREDNJA,11,29.7,18.2,2.6
1.875,2.5,1.9625,81.5,70.5,16.9,SREDNJA,11,13,24.5,0.999999999999998
2.275,4.4,2.0875,92.9,91.85,14.7,SREDNJA,11,18.1,2.30000000000001,1
4.75,2.8,1.9625,85.1,82.725,10,NIZKA,11,35,4.09999999999999,1.8
9.25,2.4,1.7625,91.7,90.725,11.2,SREDNJA,11,73.5,2.90000000000001,1.5
2.6,1.1,0.8125,88.9,84.45,15.7,NIZKA,11,19.4,9.10000000000001,0.6
1.5,6.5,5.35,71.5,68.0375,19.4,SREDNJA,11,11,6,0.799999999999997
5,2.7,1.9375,74.8,69.9875,15.4,SREDNJA,11,40,10,1.3
2.725,5.8,4.5,69.6,48.1,13,SREDNJA,11,20.9,32.5,2.7
9.375,5.2,4.1875,51.5,48.3875,12.9,SREDNJA,11,75,8.6,1.1
3.125,3.8,2.0125,77.6,65.475,13.8,SREDNJA,11,25,22.3,3
1.375,3.3,2.125,70.3,60.5875,11.5,NIZKA,11,10.5,15.5,1.5
5.25,5.4,3.8,56.8,54.7,12.4,NIZKA,11,42,3.8,0.6
4.875,1.8,1.6875,75.3,72.85,8.6,SREDNJA,11,39,7.5,2.4
2.325,1.6,1.2375,78.1,75.8875,11.9,NIZKA,11,18.6,4.3,0.700000000000001
3.875,2.4,1.8125,78.7,76.3625,15.1,SREDNJA,11,31,10,2.6
2.3625,1.9,1.375,90.2,86.7375,11,SREDNJA,11,18.9,8.2,2
2.125,2.3,1.95,76,73.675,10.5,SREDNJA,11,17,4.59999999999999,0.800000000000001
1.1125,3.4,2.1375,88.7,80.6625,10.5,SREDNJA,11,8.9,19.1,2
0.625,4.1,3.15,63.9,58.6625,11.2,NIZKA,11,5,7.8,1.3
3.75,2,1.5875,76.5,70.0375,9.5,SREDNJA,11,30,12,2.3
